Date,Open,High,Low,Close,Volume,AdjClose
2003-11-06,92.80,94.60,91.14,93.28,3441100,75.46
2003-11-05,94.59,95.00,91.52,92.33,3553400,74.70
2003-11-04,96.00,96.05,93.17,94.88,3501200,76.76
2003-11-03,92.30,95.93,91.80,95.89,4472200,77.58
2003-10-31,90.55,92.94,90.01,91.90,3555900,74.35
2003-10-30,89.00,92.74,88.33,91.60,7168500,74.10
2003-10-29,86.20,88.30,85.53,88.18,4685800,71.34
2003-10-28,83.00,85.00,82.65,84.80,2721400,68.60
2003-10-27,82.47,82.90,81.30,82.49,1562900,66.73
2003-10-24,81.50,82.59,80.38,80.85,1962700,65.41
2003-10-23,80.65,82.49,78.56,81.60,4033700,66.01
2003-10-22,84.50,84.93,82.40,82.40,2430800,66.66
2003-10-21,85.00,85.50,84.05,85.23,2684400,68.95
2003-10-20,82.95,84.70,82.20,84.39,2833800,68.27
2003-10-17,84.00,85.30,82.77,83.00,4037400,67.15
2003-10-16,84.51,85.30,83.22,84.95,2958600,68.72
2003-10-15,83.40,85.90,82.70,84.75,4483500,68.56
2003-10-14,83.94,84.03,82.05,82.88,3246800,67.05
2003-10-13,82.60,84.24,82.60,83.30,5196400,67.39
2003-10-10,79.85,81.70,79.11,79.95,2463700,64.68
2003-10-09,77.99,80.80,77.42,80.99,3140100,65.52
2003-10-08,78.50,79.16,76.80,77.99,2538400,63.09
2003-10-07,78.48,78.95,76.51,78.05,2335500,63.14
2003-10-06,78.59,78.99,77.35,78.10,1691200,63.18
2003-10-03,76.92,79.50,76.05,79.50,2914200,64.32
2003-10-02,78.00,78.78,76.00,75.99,3247000,61.48
2003-10-01,75.55,77.39,74.27,77.80,3661700,62.94
2003-09-30,77.02,77.65,74.50,75.80,4199600,61.32
2003-09-29,76.20,78.20,75.07,77.35,3245100,62.58
2003-09-26,75.50,76.80,75.30,75.80,3844900,61.32
2003-09-25,74.78,76.81,74.67,75.80,4336700,61.32
2003-09-24,78.35,79.34,73.51,74.30,4227000,60.11
2003-09-23,79.35,79.74,76.35,77.68,4959300,62.84
2003-09-22,81.76,81.76,78.15,78.45,5043400,63.47
2003-09-19,84.90,85.30,82.50,82.50,7821000,66.74
2003-09-18,84.30,85.20,83.31,84.00,2094300,67.96
2003-09-17,86.00,86.37,83.80,84.10,2551800,68.04
2003-09-16,83.68,84.78,83.16,84.60,1579000,68.44
2003-09-15,83.50,84.47,82.70,83.20,1698800,67.31
2003-09-12,83.90,84.61,81.64,82.20,2043100,66.50
2003-09-11,83.00,84.70,82.51,84.30,2289800,68.20
2003-09-10,84.99,85.50,83.00,83.40,2455100,67.47
2003-09-09,87.50,87.59,84.35,85.00,2605400,68.77
2003-09-08,86.27,87.14,85.21,86.70,2130400,70.14
2003-09-05,87.00,87.44,84.41,85.40,2280100,69.09
2003-09-04,85.32,87.55,85.30,87.13,2589700,70.49
2003-09-03,85.00,86.20,84.00,86.00,3432700,69.57
2003-09-02,84.80,85.51,82.60,83.25,2716500,67.35
2003-09-01,81.80,84.69,81.80,84.50,2553100,68.36
2003-08-29,82.56,82.82,80.15,80.70,3453300,65.29
2003-08-28,82.50,83.80,80.68,81.50,4313300,65.93
2003-08-27,83.78,84.39,82.63,83.50,1983200,67.55
2003-08-26,84.00,85.50,82.20,82.78,3552800,66.97
2003-08-25,85.12,85.58,83.65,84.09,1980200,68.03
2003-08-22,86.26,86.85,85.15,85.65,3040000,69.29
2003-08-21,87.00,87.52,86.02,87.49,3088900,70.78
2003-08-20,88.10,88.35,85.20,86.66,4690700,70.11
2003-08-19,89.40,90.67,88.50,88.90,3708900,71.92
2003-08-18,85.60,88.42,85.60,88.42,3407800,71.53
2003-08-15,87.20,88.00,84.85,85.35,5082500,69.05
2003-08-14,89.47,89.47,85.50,87.63,6002700,70.89
2003-08-13,91.38,91.58,87.93,88.70,4546000,71.76
2003-08-12,87.71,90.40,87.25,90.00,3885500,72.81
2003-08-11,86.20,87.60,85.16,87.05,2976300,70.42
2003-08-08,86.99,87.60,84.20,85.80,3037300,69.41
2003-08-07,88.59,88.89,84.26,86.25,5666000,69.78
